,Epoch,Loss Type,Loss Value
6499,1.107936508,G_loss,1.2838
349,1.111111111,D_loss,0.9665
6500,1.111111111,G_loss,1.0998
350,1.114285714,D_loss,0.7223
6501,1.114285714,G_loss,1.5466
351,1.117460317,D_loss,1.1531
6502,1.117460317,G_loss,1.9465
352,1.120634921,D_loss,1.2568
6503,1.120634921,G_loss,1.7144
353,1.123809524,D_loss,1.23
6504,1.123809524,G_loss,1.7037
354,1.126984127,D_loss,1.2612
6505,1.126984127,G_loss,1.3581
355,1.13015873,D_loss,1.0935
6506,1.13015873,G_loss,1.2968
356,1.133333333,D_loss,1.1253
6507,1.133333333,G_loss,1.0366
357,1.136507937,D_loss,1.4149
6508,1.136507937,G_loss,0.9036
358,1.13968254,D_loss,0.6043
6509,1.13968254,G_loss,1.6886
359,1.142857143,D_loss,1.4405
6510,1.142857143,G_loss,0.8643
360,1.146031746,D_loss,1.2215
6511,1.146031746,G_loss,0.9542
361,1.149206349,D_loss,1.0996
6512,1.149206349,G_loss,1.6014
362,1.152380952,D_loss,1.3717
6513,1.152380952,G_loss,0.5911
363,1.155555556,D_loss,1.4963
6514,1.155555556,G_loss,1.022
364,1.158730159,D_loss,1.2313
6515,1.158730159,G_loss,1.2665
365,1.161904762,D_loss,1.0926
6516,1.161904762,G_loss,1.8746
366,1.165079365,D_loss,1.5642
6517,1.165079365,G_loss,1.2629
367,1.168253968,D_loss,0.7548
6518,1.168253968,G_loss,1.939
368,1.171428571,D_loss,0.7078
6519,1.171428571,G_loss,1.7298
369,1.174603175,D_loss,1.1548
6520,1.174603175,G_loss,0.9576
370,1.177777778,D_loss,1.0531
6521,1.177777778,G_loss,0.9417
371,1.180952381,D_loss,1.0093
6522,1.180952381,G_loss,1.0286
372,1.184126984,D_loss,0.8919
6523,1.184126984,G_loss,2.2102
373,1.187301587,D_loss,1.3114
6524,1.187301587,G_loss,1.0912
374,1.19047619,D_loss,0.8276
6525,1.19047619,G_loss,1.9263
375,1.193650794,D_loss,1.1948
6526,1.193650794,G_loss,1.2461
376,1.196825397,D_loss,0.6099
6527,1.196825397,G_loss,1.8087
377,1.2,D_loss,1.1273
6528,1.2,G_loss,1.323
378,1.203174603,D_loss,1.0234
